,medianHouseValue
874,140600.0
875,186500.0
876,431800.0
877,55300.0
878,427500.0
879,175200.0
880,312300.0
881,229600.0
882,161200.0
883,95000.0
884,253500.0
885,311900.0
886,74200.0
887,319400.0
888,288900.0
889,137500.0
890,152700.0
891,259500.0
892,350000.0
893,43100.0
894,150000.0
895,228500.0
896,130600.0
897,101600.0
898,68900.0
899,231200.0
900,190700.0
901,89200.0
902,140200.0
903,173300.0
904,128600.0
905,241700.0
906,95900.0
907,252900.0
908,146300.0
909,222700.0
910,54600.0
911,55500.0
912,225600.0
913,103100.0
914,116200.0
915,43100.0
916,231800.0
917,180400.0
918,141500.0
919,105600.0
920,215400.0
921,174800.0
922,325000.0
923,236700.0
924,212500.0
925,251100.0
926,153800.0
927,162500.0
928,180900.0
929,189200.0
930,80700.0
931,191800.0
932,191100.0
933,203300.0
934,124600.0
935,112500.0
936,312500.0
937,155200.0
938,139300.0
939,299700.0
940,70800.0
941,351200.0
942,118800.0
943,376000.0
944,177700.0
945,192000.0
946,261300.0
947,159100.0
948,273700.0
949,233900.0
950,226000.0
951,158600.0
952,171400.0
953,119200.0
954,500001.0
955,105500.0
956,208900.0
957,162500.0
958,441400.0
959,55800.0
960,178200.0
961,257400.0
962,158000.0
963,296900.0
964,207500.0
965,116200.0
966,303800.0
967,157500.0
968,160000.0
969,184600.0
970,457800.0
971,500001.0
972,187300.0
973,254500.0
974,445400.0
975,500001.0
976,187500.0
977,57400.0
978,331400.0
979,282900.0
980,167600.0
981,188800.0
982,153100.0
983,500001.0
984,206000.0
985,64500.0
986,112000.0
987,125000.0
988,70600.0
989,124100.0
990,500001.0
991,313800.0
992,158300.0
993,82000.0
994,221000.0
995,411900.0
996,192000.0
997,500001.0
998,139800.0
999,112500.0
1000,159300.0
1001,110700.0
1002,197100.0
1003,99200.0
1004,171400.0
1005,209600.0
1006,91800.0
1007,61300.0
1008,368200.0
1009,219400.0
1010,86100.0
1011,208200.0
1012,149000.0
1013,266100.0
1014,126600.0
1015,382400.0
1016,207700.0
1017,104200.0
1018,296400.0
1019,80200.0
1020,273100.0
1021,158700.0
1022,73800.0
1023,184400.0
1024,315800.0
1025,260000.0
1026,147600.0
1027,156900.0
1028,137500.0
1029,111800.0
1030,345500.0
1031,242900.0
1032,70000.0
1033,165100.0
1034,94900.0
1035,88800.0
1036,179900.0
1037,290100.0
1038,134300.0
1039,500001.0
1040,162100.0
1041,231700.0
1042,229200.0
1043,38800.0
1044,348200.0
1045,235100.0
1046,284900.0
1047,110200.0
1048,81300.0
1049,55600.0
1050,164800.0
1051,221100.0
1052,179700.0
1053,160800.0
1054,137500.0
1055,109000.0
1056,105100.0
1057,159600.0
1058,111800.0
1059,177700.0
1060,277000.0
1061,160700.0
1062,87700.0
1063,267000.0
1064,133300.0
1065,115100.0
1066,234600.0
1067,67500.0
1068,186700.0
1069,327100.0
1070,187500.0
1071,55100.0
1072,73900.0
1073,142500.0
1074,162500.0
1075,225700.0
1076,337200.0
1077,67500.0
1078,87500.0
1079,194000.0
1080,94200.0
1081,96200.0
1082,65000.0
1083,189900.0
1084,103100.0
1085,147200.0
1086,231300.0
1087,144000.0
1088,281100.0
1089,153000.0
1090,93400.0
1091,115100.0
1092,94300.0
1093,171500.0
1094,279600.0
1095,160300.0
1096,99300.0
1097,45500.0
1098,270600.0
1099,329200.0
1100,242400.0
1101,87600.0
1102,340700.0
1103,136300.0
1104,281300.0
1105,270800.0
1106,165300.0
1107,293800.0
1108,394000.0
1109,130300.0
1110,271900.0
1111,147200.0
1112,263200.0
1113,151300.0
1114,207900.0
1115,59400.0
1116,104600.0
1117,65900.0
1118,171400.0
1119,96900.0
1120,334100.0
1121,149500.0
1122,500001.0
1123,106300.0
1124,211700.0
1125,218100.0
1126,314000.0
1127,64100.0
1128,107800.0
1129,131700.0
1130,182500.0
1131,195500.0
1132,66400.0
1133,361900.0
1134,230500.0
1135,144900.0
1136,208400.0
1137,113600.0
1138,144400.0
1139,275000.0
1140,160900.0
1141,183800.0
1142,85900.0
1143,73200.0
1144,258300.0
1145,54400.0
1146,485000.0
1147,130700.0
1148,86400.0
1149,153700.0
1150,344100.0
1151,111700.0
1152,500001.0
1153,94500.0
1154,232700.0
1155,53000.0
1156,178500.0
1157,278800.0
1158,275000.0
1159,71800.0
1160,420000.0
1161,84400.0
1162,126600.0
1163,175000.0
1164,48800.0
1165,153800.0
1166,271500.0
1167,500001.0
1168,87500.0
1169,62800.0
1170,139300.0
1171,237500.0
1172,429000.0
1173,75000.0
1174,64400.0
1175,116600.0
1176,134800.0
1177,68900.0
1178,93000.0
1179,212300.0
1180,231800.0
1181,89100.0
1182,174300.0
1183,59400.0
1184,216700.0
1185,205100.0
1186,100000.0
1187,188600.0
1188,142500.0
1189,220600.0
1190,145800.0
1191,112500.0
1192,137500.0
1193,157300.0
1194,131900.0
1195,479000.0
1196,179600.0
1197,93800.0
1198,199300.0
1199,251600.0
1200,200000.0
1201,162500.0
1202,218100.0
1203,243200.0
1204,182600.0
1205,192300.0
1206,30000.0
1207,158800.0
1208,148900.0
1209,138800.0
1210,150600.0
1211,235300.0
1212,202700.0
1213,333800.0
1214,179300.0
1215,319100.0
1216,146300.0
1217,183800.0
1218,405400.0
1219,221200.0
1220,194600.0
1221,378100.0
1222,170600.0
1223,411200.0
1224,335500.0
1225,81300.0
1226,370000.0
1227,192200.0
1228,73800.0
1229,311500.0
1230,218300.0
1231,142400.0
1232,112500.0
1233,300700.0
1234,291000.0
1235,391100.0
1236,108000.0
1237,208900.0
1238,161500.0
1239,157500.0
1240,142600.0
1241,214100.0
1242,143400.0
1243,209700.0
1244,174100.0
1245,228100.0
1246,88600.0
1247,197500.0
1248,161100.0
1249,90600.0
1250,137600.0
1251,265300.0
1252,62100.0
1253,125500.0
1254,138600.0
1255,364000.0
1256,125000.0
1257,115300.0
1258,247400.0
1259,104100.0
1260,99300.0
1261,170800.0
1262,339700.0
1263,148200.0
1264,138100.0
1265,444100.0
1266,302600.0
1267,500001.0
1268,197500.0
1269,225800.0
1270,69800.0
1271,216400.0
1272,201400.0
1273,134600.0
1274,319800.0
1275,223800.0
1276,82200.0
1277,176500.0
1278,82500.0
1279,335000.0
1280,156000.0
1281,102400.0
1282,238700.0
1283,87600.0
1284,191900.0
1285,189600.0
1286,284800.0
1287,341700.0
1288,141700.0
1289,180500.0
1290,293200.0
1291,150000.0
1292,268600.0
1293,76900.0
1294,220300.0
1295,101100.0
1296,458300.0
1297,65300.0
1298,221000.0
1299,209900.0
1300,198400.0
1301,211600.0
1302,222700.0
1303,137500.0
1304,71300.0
1305,108700.0
1306,78700.0
1307,119900.0
1308,61600.0
1309,342800.0
1310,166700.0
1311,500001.0
1312,205800.0
1313,125000.0
1314,84400.0
1315,143100.0
1316,91600.0
1317,57600.0
1318,172600.0
1319,89200.0
1320,188600.0
1321,55100.0
1322,137500.0
1323,154400.0
1324,162500.0
1325,98400.0
1326,152600.0
1327,116400.0
1328,171300.0
1329,206900.0
1330,159300.0
1331,283300.0
1332,277600.0
1333,125000.0
1334,137800.0
1335,198000.0
1336,393800.0
1337,70300.0
1338,142300.0
1339,154700.0
1340,287500.0
1341,233000.0
1342,95300.0
1343,110200.0
1344,199000.0
1345,221800.0
1346,146000.0
1347,143200.0
1348,266400.0
1349,169800.0
1350,136400.0
1351,133300.0
1352,159300.0
1353,279200.0
1354,135300.0
1355,120700.0
1356,153400.0
1357,218300.0
1358,66000.0
1359,195900.0
1360,150000.0
1361,328800.0
1362,267400.0
1363,500001.0
1364,174400.0
1365,69900.0
1366,225000.0
1367,273700.0
1368,92000.0
1369,142900.0
1370,72000.0
1371,118800.0
1372,492900.0
1373,129300.0
1374,91800.0
1375,72200.0
1376,500001.0
1377,500001.0
1378,146300.0
1379,113500.0
1380,325000.0
1381,102500.0
1382,255100.0
1383,232000.0
1384,139400.0
1385,66000.0
1386,63200.0
1387,283300.0
1388,209800.0
1389,84300.0
1390,436600.0
1391,153500.0
1392,214300.0
1393,137500.0
1394,386100.0
1395,192900.0
1396,137500.0
1397,220500.0
1398,149800.0
1399,108000.0
1400,500001.0
1401,482700.0
1402,196200.0
1403,69700.0
1404,346200.0
1405,55200.0
1406,56700.0
1407,128600.0
1408,93800.0
1409,93200.0
1410,108300.0
1411,87500.0
1412,340400.0
1413,201000.0
1414,137500.0
1415,72100.0
1416,387800.0
1417,117900.0
1418,202300.0
1419,136900.0
1420,73400.0
1421,286400.0
1422,139300.0
1423,57000.0
1424,170700.0
1425,112500.0
1426,175000.0
1427,500001.0
1428,297600.0
1429,153700.0
1430,147500.0
1431,78700.0
1432,160200.0
1433,77700.0
1434,473500.0
1435,375000.0
1436,130600.0
1437,93500.0
1438,118800.0
1439,256700.0
1440,318200.0
1441,161100.0
1442,137000.0
1443,69000.0
1444,60400.0
1445,68300.0
1446,264400.0
1447,109400.0
1448,409300.0
1449,170000.0
1450,143800.0
1451,145500.0
1452,162000.0
1453,93800.0
1454,192200.0
1455,318600.0
1456,185200.0
1457,65200.0
1458,304500.0
1459,180500.0
1460,149700.0
1461,71700.0
1462,245200.0
1463,439100.0
1464,266400.0
1465,192400.0
1466,127200.0
1467,258300.0
1468,245300.0
1469,88600.0
1470,87500.0
1471,279600.0
1472,119400.0
1473,217700.0
1474,202200.0
1475,373400.0
1476,163100.0
1477,268200.0
1478,156300.0
1479,137200.0
1480,222100.0
1481,500001.0
1482,394400.0
1483,230400.0
1484,259700.0
1485,348700.0
1486,243200.0
1487,211700.0
1488,111500.0
1489,384200.0
1490,419700.0
1491,167700.0
1492,162500.0
1493,231300.0
1494,56700.0
1495,307800.0
1496,179400.0
1497,52100.0
1498,181300.0
1499,91900.0
1500,103600.0
1501,146900.0
1502,105800.0
1503,129200.0
1504,375000.0
1505,331200.0
1506,151700.0
1507,352000.0
1508,98700.0
1509,60800.0
1510,150700.0
1511,223900.0
1512,233300.0
1513,190500.0
1514,112700.0
1515,176600.0
1516,475000.0
1517,274000.0
1518,386500.0
1519,356600.0
1520,225000.0
1521,243100.0
1522,238800.0
1523,231000.0
1524,274800.0
1525,86400.0
1526,500001.0
1527,221700.0
1528,189600.0
1529,144800.0
1530,378200.0
1531,96400.0
1532,97300.0
1533,66000.0
1534,240100.0
1535,69400.0
1536,96600.0
1537,92200.0
1538,218300.0
1539,93400.0
1540,112500.0
1541,500001.0
1542,255300.0
1543,174000.0
1544,500001.0
1545,240700.0
1546,247200.0
1547,210400.0
1548,111500.0
1549,121400.0
1550,275000.0
1551,268200.0
1552,93100.0
1553,95300.0
1554,206500.0
1555,205100.0
1556,120100.0
1557,325700.0
1558,100600.0
1559,105200.0
1560,500001.0
1561,143800.0
1562,63500.0
1563,152000.0
1564,101100.0
1565,61100.0
1566,500001.0
1567,97800.0
1568,91300.0
1569,136700.0
1570,108500.0
1571,358000.0
1572,261600.0
1573,162100.0
1574,275000.0
1575,160900.0
1576,165800.0
1577,351800.0
1578,71900.0
1579,95000.0
1580,66900.0
1581,240900.0
1582,283300.0
1583,74800.0
1584,64600.0
1585,57600.0
1586,93800.0
1587,252200.0
1588,68600.0
1589,205700.0
1590,272700.0
1591,308300.0
1592,154900.0
1593,70200.0
1594,348200.0
1595,170700.0
1596,204000.0
1597,173800.0
1598,81300.0
1599,103200.0
1600,151400.0
1601,82500.0
1602,140600.0
1603,107300.0
1604,68800.0
1605,500001.0
1606,75000.0
1607,158000.0
1608,74600.0
1609,411300.0
1610,170900.0
1611,390000.0
1612,118100.0
1613,193700.0
1614,116100.0
1615,175000.0
1616,127100.0
1617,139800.0
1618,69900.0
1619,135600.0
1620,202700.0
1621,235600.0
1622,454800.0
1623,144300.0
1624,125400.0
1625,72700.0
1626,64700.0
1627,147800.0
1628,282100.0
1629,83300.0
1630,234800.0
1631,93600.0
1632,140600.0
1633,383300.0
1634,75000.0
1635,83500.0
1636,145300.0
1637,206700.0
1638,173300.0
1639,97600.0
1640,186400.0
1641,287100.0
1642,270800.0
1643,217800.0
1644,80300.0
1645,213600.0
1646,124300.0
1647,260100.0
1648,409900.0
1649,133300.0
1650,187100.0
1651,259600.0
1652,347400.0
1653,109800.0
1654,171900.0
1655,82600.0
1656,47100.0
1657,103400.0
1658,180800.0
1659,444300.0
1660,224000.0
1661,202100.0
1662,126900.0
1663,125000.0
1664,70200.0
1665,213200.0
1666,122200.0
1667,103600.0
1668,116700.0
1669,195800.0
1670,85000.0
1671,265000.0
1672,218800.0
1673,163500.0
1674,101500.0
1675,126500.0
1676,304100.0
1677,432500.0
1678,87500.0
1679,166800.0
1680,102600.0
1681,92900.0
1682,191100.0
1683,125000.0
1684,272900.0
1685,55000.0
1686,177200.0
1687,75300.0
1688,221300.0
1689,450400.0
1690,311200.0
1691,87100.0
1692,445900.0
1693,67500.0
1694,179400.0
1695,391500.0
1696,170200.0
1697,175900.0
1698,181900.0
1699,162500.0
1700,363600.0
1701,159000.0
1702,217100.0
1703,97300.0
1704,316200.0
1705,147500.0
1706,500001.0
1707,149100.0
1708,177800.0
1709,185100.0
1710,83100.0
1711,170300.0
1712,500001.0
1713,334100.0
1714,85000.0
1715,244700.0
1716,272400.0
1717,246200.0
1718,303900.0
1719,375400.0
1720,53300.0
1721,171300.0
1722,72400.0
1723,216700.0
1724,92800.0
1725,109600.0
1726,191100.0
1727,135300.0
1728,88700.0
1729,180000.0
1730,98700.0
1731,117400.0
1732,212500.0
1733,300000.0
1734,384200.0
1735,164600.0
1736,335600.0
1737,186500.0
1738,80400.0
1739,111800.0
1740,190400.0
1741,436700.0
1742,129500.0
1743,117600.0
1744,339800.0
1745,393900.0
1746,218300.0
1747,455900.0
1748,94200.0
1749,164100.0
1750,227100.0
1751,174200.0
1752,239300.0
1753,147500.0
1754,222100.0
1755,156100.0
1756,127200.0
1757,235900.0
1758,128800.0
1759,249600.0
1760,320800.0
1761,134100.0
1762,402400.0
1763,351200.0
1764,110800.0
1765,242200.0
1766,179700.0
1767,144400.0
1768,147500.0
1769,103900.0
1770,123800.0
1771,145700.0
1772,291800.0
1773,407200.0
1774,162500.0
1775,64500.0
1776,500001.0
1777,450000.0
1778,223200.0
1779,109800.0
1780,60400.0
1781,198900.0
1782,221100.0
1783,182700.0
1784,219200.0
1785,110400.0
1786,227100.0
1787,180400.0
1788,85700.0
1789,376200.0
1790,123400.0
1791,271400.0
1792,87500.0
1793,267500.0
1794,63400.0
1795,276500.0
1796,125400.0
1797,386400.0
1798,175600.0
1799,67300.0
1800,309200.0
1801,414700.0
1802,59100.0
1803,170000.0
1804,73000.0
1805,500001.0
1806,340600.0
1807,86500.0
1808,500001.0
1809,172600.0
1810,99700.0
1811,80600.0
1812,187900.0
1813,308400.0
1814,189100.0
1815,302200.0
1816,237400.0
1817,343300.0
1818,108200.0
1819,155700.0
1820,322900.0
1821,483300.0
1822,51600.0
1823,346100.0
1824,147700.0
1825,88200.0
1826,141400.0
1827,191700.0
1828,84400.0
1829,190100.0
1830,112500.0
1831,177500.0
1832,174600.0
1833,113500.0
1834,238000.0
1835,250300.0
1836,218000.0
1837,274200.0
1838,210800.0
1839,69200.0
1840,209700.0
1841,324400.0
1842,282000.0
1843,390000.0
1844,208300.0
1845,244300.0
1846,161700.0
1847,111500.0
1848,94400.0
1849,343400.0
1850,166200.0
1851,209600.0
1852,245700.0
1853,219900.0
1854,163400.0
1855,500001.0
1856,233700.0
1857,234000.0
1858,152800.0
1859,135500.0
1860,151600.0
1861,208600.0
1862,86600.0
1863,71000.0
1864,125700.0
1865,412500.0
1866,95200.0
1867,255000.0
1868,89000.0
1869,375000.0
1870,187500.0
1871,64800.0
